review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R3ROA7AIPUTWTJ,B099TJGJ91,5.0 out of 5 stars Superior Sound Quality in a Compact Design,Brandon,5,"The Bose Soundlink Flex Bluetooth Portable Speaker offers exceptional sound quality in a sleek and compact design. The speaker delivers rich, clear audio with deep bass, making it perfect for both indoor and outdoor use. The battery life is impressive and the Bluetooth connectivity is seamless. The speaker is also durable and water-resistant, ideal for taking on the go. If you want a portable speaker with premium sound quality, this one from Bose is an excellent choice.","Reviewed in the United States August 7, 2024",AFQ2RJJY4FMBW4LFKJTH4YCBL25Q,TRUE,1,Color: Stone Blue
R2LQYVEK3JWJW2,B099TJGJ91,5.0 out of 5 stars Great clear and powerful speaker,LilliesofTruth,5,"The sound quality is absolutely exceptional, delivering rich, clear audio that fills the room effortlessly. Whether I'm listening to my favorite music, catching up on podcasts, or enjoying movie nights, the speaker amplifies every sound with incredible depth and clarity. The design is sleek and modern, making it a stylish addition to my home decor, and it is super portable, allowing me to take it along for outdoor gatherings without any hassle. Setup was a breeze, and the Bluetooth connectivity works flawlessly with my devices. I even got a cute matching accessory holder to carry it like a handbag. Worth the money!","Reviewed in the United States July 31, 2024",AGER2OA4FJUBXTG4D47RSLLBPTMA,TRUE,6,Color: White Smoke
R2TB41OYEQ665X,B099TJGJ91,5.0 out of 5 stars Simply great.,Jake,5,"I have thoroughly enjoyed my entire ownership of this speaker.Time of writing this review is roughly 8 months after purchase, having used this speaker practically every single day since. This was a replacement for a very well-loved but somewhat lacking B&O (P3?) oval-shaped speaker that inspired of few of my must-have features.My key requirements in purchasing a speaker at this price point were:- Punchy, solid bass, with high accuracy, clear playback throughout most of the volume range- Relatively attractive, understated, simple design with ergonomic and intuitive controls- Easily oriented for high quality playback in a variety of different situations (facing sideways, upwards, at angles)- Long-lasting battery without any obnoxious constant playback interruptions informing you of battery life remainingThis speaker delivers on all of these.The bass is incredibly clear, with no horrible warbling and distortion that’s very common with dozens of other similar speakers. The audio playback is very crisp and clear, with no noticeable quality losses. I’m sure it’s not perfect, but it’s more than adequate for 95%+ of people. Even at low volumes, the quality is still extremely high. There is a usable, enjoyable sound at every volume level.The design is simple, but handsome. It does not look obnoxious or out of place anywhere. It is just the right size, not too large to pop into a bag, and not too small as to have low-power drivers with poor sound. Very easy to transport. The squared design makes it very stable on most surfaces, but is still rounded enough not to get caught on things. The controls are very easy to understand, even the multi-device Bluetooth cycling and syncing. I have no complaints.The speaker works well for playback in nearly any position, especially when placed on a table or other nice playback surface. It can be placed facing upward, and the speaker enhances playback for all-around sound. When placed horizontally, the same happens for directional playback. Very impressive stability in a wide variety of situations. Some would consider the lack of a lanyard or string to be a downside for this point, but there is massive benefits to keeping this speaker on a surface.The battery life is incredible. Vastly longer than I had really expected for this speaker. With my personal usage (middle volume range, 2-3 uses a day for 30 to 60 minutes at a time), I usually recharge every 1-2 weeks. Not sure what exactly that equates to in real playback time, but I still find it impressive. The speaker will notify you at 20% and 10% battery level, which is exactly what I wanted. Many other speakers will interrupt playback at 75%, 50%, etc. I’ve not experienced any noticeable battery decay during my ownership, but I have only fully depleted and nearly fully recharged the entire time, with no “filling up” in between.Downsides do exist, but most are inconsequential for me.- The audible indicators that inform you of which device you are connected to can sometimes feel a bit sluggish, especially with long device names.- I feel the price point is still a bit on the high side for the value, but I feel I’ve more than gotten my money’s worth. I just like a good deal.- Volume occasionally spikes very high in certain scenarios when switching between devices, but is fairly easily turned down after a quick scare.I would highly recommend this speaker to anyone in the market for a speaker at this price point. This is an especially good deal on sale. If you’re still reading at this point, just get the damn thing on the way.","Reviewed in the United States May 4, 2024",AHZBIFMKWWZHILYEIYOSP4AIA37Q,TRUE,230,Color: Black
R2Y3WBHYS3U0M4,B099TJGJ91,5.0 out of 5 stars A premium speaker in a sturdy package.,Reviewer MHM 3-5,5,"I bought this speaker because I wanted a way to listen to music while grilling in my backyard. I had no expectations of it being a “party” speaker or anything of the like.But my goodness. This speaker punched above the weight I expected and what reviewers claim. They say it’s good for less than 10 people. Probably true if in an enclosed space.Outside, standing in the corner of my backyard about 40+ feet away, the speaker volume is at about 60-70% and with the air conditioner droning on I can still hear this speaker, and the vocals are clear, the instruments are clear, and there’s even some punch of the bass. It’s so much more potent than I expected.I actually bought a second one (the one pictured) so I could utilize Party Mode and Stereo Mode, and then these are far better than they have any right to be. The bass shook through the house at about 40% volume, to the extent that my wife actually asked me to return one and get some noise cancelling headphones if I wanted to be blaring music all day. 😂So (for now), I’m obliging and returning one, but honestly, I don’t want to. One of these speakers are great. Two make a great portable stereo system.Now for the feature set. Key selling points for me were:1. Durability. It’s made of steel and silicone, is rated to withstand a dunk in water and dust. You can enjoy this in the yard, on your workbench, swimming, shower, etc. I live in high desert, and the wind blew over these speakers from a table to the ground and they didn’t have a single dent or scratch. Which leads me to…2. The device has sensors built in that detect its positioning, so the sound quality was maintained even if it’s on its back, side, or face down. None of the other products that compete in this segment offer that function to my knowledge.3. Unlike other products that I considered, this sounded good right out of the box. Anker (Soundcore) offers some great competition in this segment, but needs the EQ tweaked to shine. They’re not bad by any means, but I wanted things to just be simple. Power on and go without fuss. Bose delivered that.There are similar products for sure. Ultimate Ears will also let you pair two portables to create a stereo, but it lacked the intelligence that this speaker did.We already covered Soundcore. Tweak with the EQ, save some money, you’ll likely be happy.These speakers do often go on sale, and I purchased mine used (like new) and refurbished respectively. The “Used” unit was actually brand new from Amazon, broke the seals on the box and everything. Far as I could tell, the speaker just rolled around in someone’s trunk unopened before returning. The box had some cosmetic damage but no dents, broken seals, and all accessories were obviously also unopened.Refurbished unit came straight from Bose. Also came with all accessories and literature, just a box that was labeled “Refurbished”. Warranty on refurbished or new are 1 year regardless.I bring this up to encourage you to save some money, reduce some e-waste, and buy secondhand like I did. No judgments if you want to go new of course! But I got 2 speakers, one that was new in reality, essentially $100 off the set, and I didn’t miss out on anything in terms of product or warranty.$150 is pricey for a speaker, but $103 for a Bose speaker is not. Especially one that can literally go for a swim.Four criticisms I’d like y’all to know. First, compression above about 75% volume. Your bass will flatline above this point to maintain clarity of the track as a whole. In reality, that just means you go from a slightly warm tone to a very neutral tone of sound profile. No big deal unless you’re blasting EDM, Hip-Hop, the like. As I said, this little 20W speaker carries enough punch that 70% was more than enough to fill my backyard.Second criticism is no biggie for me, but worth bringing up for those shopping the competition. I didn’t want to fuss with an EQ, but competitors do have them to fine tune your sound. Consequentially, the app is basically useless beyond seeing your battery life and an option on how to do party mode (not required).Third criticism is truly a nitpick, but why do I have two apps for my Bose products? Why do I need one for headphones and one for speakers? Wish Bose would put all their portable speakers and headphones into one app. You could easily knock out criticisms 3-4 by just putting this speaker into the Bose Music app, like my QuietComfort Headphones, and this VERY speaker's big brother, the Soundlink Flex Max, is already there. Why the heck is the Soundlink Flex not in Bose Music, with a basic EQ like the others?Fourth, this uses outdated Bluetooth. No big deal. Pairs easily. But don’t expect to watch movies or game off of this. Latency is too high.Anyhow, enough of that. Go buy one. Or better yet, two. You won’t be disappointed.","Reviewed in the United States July 2, 2024",AH5F7QHDE5VKRAMBN43A5WPU4ADQ,TRUE,104,Color: Black
R22BP3UXW8MVME,B099TJGJ91,5.0 out of 5 stars sound quality,Max,5,"I'm absolutely thrilled with this speaker! The color is spot on, and the material feels soft yet is easy to clean. The sound quality is impressively good, which was a wonderful surprise. You can position it on its side for directional sound or lay it flat for excellent, all-around audio clarity. Its size is perfect for placing on a desk, counter, or even packing in your luggage. The audio is clear and crisp, and it's waterproof, making it ideal for use in the shower. Charging is straightforward with a USB-C connection, just like most of my other devices. The buttons are soft yet durable. So far, I haven't found anything to dislike about it!","Reviewed in the United States July 23, 2024",AHBACXI2N3R5HP7LWWUEPXQB3XYQ,TRUE,1,Color: Stone Blue
RQALUUYJSIT6A,B099TJGJ91,5.0 out of 5 stars Portable Speaker,Jose,5,"This is by far the best portable speaker I have ever owned. The sound quality is immaculate, with a bass that is incredibly smooth and buttery. I love it so much that I brought it with me to a small gathering. Even in a pretty large room, it played music beautifully, and people were impressed with the sound.Overall, this is a great speaker! It exceeds my expectations in terms of performance and sound quality. If you're looking for a reliable and impressive portable speaker, I highly recommend this one.","Reviewed in the United States July 28, 2024",AEA76CNGB75445PR4RJJZF3BHM6A,TRUE,2,Color: Green
R3N5UYTNS8D2V6,B099TJGJ91,"4.0 out of 5 stars Small speaker, big sound, travel friendly",jonathan lopez,4,"Got this lil thing for Prime Day for only $99. I’m not going to lie, I had low expectations and planned on returning it. After opening it and setting it up, I got to see what the hype was about. Took me a couple hours of listening to figure out if it was a bang for my buck or a waste of money.I currently have the first UE Megaboom that I use daily that I bought back in 2016. It’s loud, has bass and can fill a room. Sadly, the charge isn’t exactly reliable so I was looking for something new. The Bose Link Flex definitely has a great quality sound. It will definitely fill a room. I like to use mine in the shower and acoustically in the shower the bass just sounds amazing!! Speaker actually fell off the shelf from the bass and survived the fall.Now, I listen to just about every genre of music. I found it to sound best with Latin music. Vocals are super clear. When it came to rap music (or music with lots of bass) I found it to sound perfectly balanced when the volume was at about 75%. Above that you’ll definitely still get volume but the bass will take a seat back. I’m used to the UE Megaboom that has 360 sound. While the Bose Link Flex will fill a room, the sound seems more straight forward depending if you want to stand it up or lay it down.Bose App is decent. Doesn’t really have any equalizer setting on there if that’s what you’re loooking for.I got this because it is small enough to pack in a carry on and not take up too much space in my bag. Might I add, it’s almost the same size as my iPhone 14 Pro Max . I can easily carry both in one hand. Easy to say, I’m going to keep this speaker with me. Now let’s see if the battery life is legit. I’ll check back in.","Reviewed in the United States July 18, 2024",AF35A3ETTRWH62AWEWFQ2GO27VJA,TRUE,14,Color: Green
R1UJ815NWSD18M,B099TJGJ91,5.0 out of 5 stars Sound quality,Kristie- B,5,"As always Bose sound quality is clean and crisp can hear the notes, the base is alright. It doesn’t take long to charge. It connects fine to all my devices. The color is nice pastel purple. I would need to using it for couple of months to see how durable it is but it’s sturdy and the price is good especially when on sale.","Reviewed in the United States July 22, 2024",AHLUENLDGFRCWAZKXQX2E3RYP3QA,TRUE,6,Color: Chilled Lilac
R3TVEXDLBORXWI,B099TJGJ91,5.0 out of 5 stars 5 Million Stars!! ⭐⭐⭐⭐⭐,Caitriona Gillespie,5,"OMG this is the best speaker which is not a huge floor speaker (over 1 foot high) that is part of a massive speaker system. The sound quality is truly impressive for a speaker of any size, & I think that if I bought another one, which I'm seriously considering, it would rival my Kenwood stereo system, which has two floor speakers that are over a foot high each, & the Kenwood amplifier, & the Kenwood 5-CD player. All that stuff is so big that it needs its own cabinet & takes up several feet of floor space. I don't know how the geniuses at Bose have done it, but they have somehow packed all that sound into a speaker less than half the size of a loaf of bread that is also a very appealing shade of lilac that goes with my décor. The Bluetooth connection works perfectly every time, even though I don't have the newest phone out there. I'm so in love with this speaker, the only complaint I have is purely aesthetic & easily fixed- the fabric loop attached to this beautiful lilac speaker is, for some unknown reason, an entirely ridiculous shade of brilliant orange, which clashes hideously with everything. I solved this problem with a dark purple Sharpie marker. That is the only complaint I have. While this speaker comes without any instructions on how to set it up, the set up is so easy, even when you're not a technology person, that I set it up myself with no help in under a minute. I plugged it in, turned it on, turned the volume all the way up- for some idiotic reason, it comes with the volume all the way down- & then turned on the Bluetooth on my phone & had it search for Bluetooth devices. My phone found the speaker very quickly, paired with it without issue, & started playing. One important thing to know is that when you leave the range of the speaker for an extended period of time, like when I leave for work & take my phone with me, the speaker will turn that connection off, so that when I get home & want to use my speaker again, I need to go over to the speaker with my phone & push the power button once. The speaker will say how much battery power is left & that it is now connected to my phone- I don't turn the Bluetooth off on my phone when I leave the house. I recommend turning the speaker all the way up & then controlling the volume through your phone, which is what I do. I think that's the easiest way to do it. One charge of the battery lasts a long time- at least 12 hours, so that part's great as well. Just buy it already, you won't regret it. It'll beat the pants off of all of your other speakers, even if you already have a nice set of Bose speakers.","Reviewed in the United States June 15, 2024",AGKOCRUHY2FG2ZHWTZRUH5JYIFBA,TRUE,19,Color: Chilled Lilac
R2TT1UU35P8I2W,B099TJGJ91,"4.0 out of 5 stars Surprisingly loud, no EQ controls, few caveats",Jacob Teeler,4,"Bought this for work (I run a forklift and JBLs just arent loud enough) and was pleasantly surprised by how loud it gets. Sound quality is fantastic at all volume levels, its durable and holds up pretty well to the elements. The battery does genuinely last a full 8-10 hour shift playing constantly. A few things to note however.There are no EQ controls for it. Sound is well balanced but theres no bass boost, treble, no nada built in.The app is unnecessary once you get it set up with your device, really only need it to check the battery. The speaker will tell you what its battery percentage is if you turn it off and on though.Max volume is entirely dependent on the device its paired to. If i pair it to my PC, max volume is pretty quiet. If i pair it to my buddy's phone it gets pretty loud, but nowhere near as loud as it is paired to my phone.Volume controls are independent from the device and speaker. You can turn your speaker volume to max but your device is the primary control. So if you have the speaker on low volume and your phone all the way to the max, it wont be as loud as both at max, and vice versa. Its very odd.It does not remember the bluetooth volume of the device its paired to, so if you turn it off and use it the next day, it has a habit of being at full blown volume by default. Just be mindful.Other than that, its excellent and no one will be disappointed by it.","Reviewed in the United States July 22, 2024",AHEGWVGORT2NYKVPVFMFBFDUYI7Q,TRUE,2,Color: Black
R3PQFUOLSJBHRB,B099TJGJ91,5.0 out of 5 stars Bose quality,Tenkiller,5,"Bose has been one of the gold standard in sound for decades. So it’s not surprising that they pack a lot of quality into this little speaker. For one thing, holds a charge a long time! And it announces each time it’s turned on how much charge is left. No guessing. The sound quality is really decent for the size of the speaker. It can get very, very loud, if that’s your thing. It has a bass booster that I usually leave on. I appreciate that it is water resistant as I take this into the bathroom, the kitchen, camping, etc. It paired readily with my iPhone. There are some other features I haven’t played with yet, like doing my Teams meetings with it using the onboard mic, but I suspect it will be fine. If you are looking for a reasonably small Bluetooth speaker with a big sound without breaking the bank, give it a try.","Reviewed in the United States August 4, 2024",AG4KHYIUPQPNTJR7JU5GD7DGV7QQ,TRUE,0,Color: Green
R1JSRE6SH7YE46,B099TJGJ91,"5.0 out of 5 stars Good sound, solid unit, but CONNECTION difficulties to know",Dexter Haven,5,"You may have trouble getting this to play sound from you desktop computer, as I did. The unit misleads you by saying you need to download the app 'Bose connect'. I tried to, but could not get it to download from the App store or from the Bose website. Other Bluetooth speakers connected automatically for me, so this was a hassle. I tried to chat with the Bose help bot, but it was of no help; the lady on the phone at Bose tech support was of no help and disconnected mid-sentence and didn't call me back. I tried to return the item on Amazon, then saw a troubleshooting video. Open your 'systems settings' on your computer and select 'sound'; click the Bose option for speaker 'output'. For some reason this Bose unit doesn't default as the output as other Bluetooth speakers did on my computer. Then you should be able to hear it.","Reviewed in the United States July 30, 2024",AGMDFCAFNSOMPAQOPYPJSNKY2HGA,TRUE,0,Color: Stone Blue
R2MLVPMTCERUY,B099TJGJ91,5.0 out of 5 stars Best small portable bose speaker ever!,Lauren Burke,5,This is our 4th Bose speaker that we've purchased. I bought this one to replace my Bose soundlink color 2 speaker that stopped working after a few years. I'm so glad I purchased it! It has waaaaaay better sound quality than the soundlink color 2 model! I was ecstatic when I plugged it in and heard how awesome the bass is and the volume level it goes up to is great! I'm excited to take it to the beach and the pool! I just received it in the mail today and wanted to let others know how great it sounds. Hopefully it lasts awhile! Buy it! You'll love it! I just ordered a hard case for it to keep the charging cord with it and to protect it when I pack it in my beach bag and suitcase when traveling. I love the stone blue color. I highly recommend this Bose flex speaker!!!!,"Reviewed in the United States July 21, 2024",AH6PAONOIJTCWDHJBZNAVNICK7UQ,TRUE,0,Color: Stone Blue
